rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff
0,11 Com,b,0,2,1,323.21,1.178,,4914.89849,185.1787793,17.7932516,93.1846,,1.978,,,,4874.0
1,11 UMi,b,0,1,1,516.21997,1.53,,4684.8142,229.2745954,71.8239428,125.321,,,,,,4213.0
2,14 And,b,0,1,1,186.76,0.775,,1131.1513,352.82415,39.2358367,75.4392,,1.84,,,,4888.0
3,14 Her,b,0,1,2,1765.0389,2.774,,2559.47216,242.6021014,43.8163621,17.9323,,,,,,
4,16 Cyg B,b,0,3,1,798.5,1.66,,565.7374,295.4656422,50.5168243,21.1397,,,,,,5750.0
5,17 Sco,b,0,1,1,578.38,1.45,,1373.01872,243.4620874,-11.8377905,124.953,,2.254,,,5.13,4157.0
6,18 Del,b,0,2,1,982.85,2.476,,2926.24614,314.6078375,10.8391378,76.222,,1.634,,,,4980.0
7,1RXS J160929.1-210524,b,0,1,1,,330.0,,3000.0,242.3762343,-21.0831403,139.135,1700.0,-0.37,,,0.005,4060.0
8,24 Boo,b,0,1,1,30.33,0.194,,280.64248,217.1555242,49.8446488,95.9863,,1.877,,,,4816.0
9,24 Sex,b,0,1,2,452.8,1.333,,632.46,155.8684866,-0.9023998,72.0691,,1.164,,,2.7,5098.0
10,24 Sex,c,0,1,2,883.0,2.08,,273.32,155.8684866,-0.9023998,72.0691,,1.164,,,2.7,5098.0
11,2MASS J04372171+2651014,b,0,1,1,,118.0,,1271.31363,69.3405531,26.8502997,128.484,1450.0,-1.164,,,0.003,3100.0
12,2MASS J01033563-5515561 A,b,1,2,1,,84.0,,4131.79,15.8992489,-55.2658291,,,,,,0.03,
13,2MASS J01225093-2439505,b,0,1,1,,52.0,,7786.5,20.7128012,-24.6646128,33.8281,,-1.72,,,0.12,3530.0
14,2MASS J02192210-3925225,b,0,1,1,,156.0,16.141,4417.837,34.8427046,-39.4230767,,,-2.23,,,0.035,3064.0
15,2MASS J0249-0557 A,c,1,2,1,,1950.0,,3686.80952,42.4851627,-5.9599921,66.0613,,-2.59,,,0.022,
16,2MASS J03590986+2009361,b,0,1,1,,572.0,,5720.91133,59.7911026,20.1599759,117.435,2369.0,,,,,
17,2MASS J04414489+2301513,b,0,1,1,,15.0,,2383.6,70.4371079,23.0308544,,,,,,0.001,
18,2MASS J11011926-7732383,b,0,1,1,,266.0,,8899.1954,165.3295388,-77.5440912,,2677.0,,,,,
19,2MASS J11550485-7919108,b,0,1,1,,587.0,,6356.56814,178.7691634,-79.3197558,100.862,2506.0,,,,,
20,2MASS J12073346-3932539,b,0,1,1,,55.0,,1589.15,181.8890906,-39.5484399,64.308,1250.0,,,,0.008,
21,2MASS J19383260+4603591,b,1,2,3,406.0,,,591.16084,294.6359173,46.0664076,396.332,,,,,,29564.0
22,2MASS J21252752-8138278,b,0,1,1,,7493.0,,3813.94088,321.3662989,-81.6414894,34.1154,1616.0,,,,,
23,2MASS J22362452+4751425,b,0,1,1,,230.0,,3972.875,339.1025931,47.861683,69.5737,,,,,0.12,4045.0
24,30 Ari B,b,0,4,1,335.10001,0.99,,4392.4106,39.2412736,24.6480103,44.657,,,,,,6331.0
25,4 UMa,b,0,1,1,270.27,0.877,,2511.48007,130.0528099,64.3280504,73.4603,,,,,4.604,4415.0
26,42 Dra,b,0,2,1,479.1,1.19,,1233.13,276.4975053,65.5633652,90.6545,,,,,9.49,4200.0
27,47 UMa,b,0,1,3,1078.0,2.1,,804.08,164.8647611,40.4304931,13.7967,,0.198,,0.8366,,5872.0
