rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
4738,L 98-59,b,0,1,4,2.2531136,0.02191,0.85,0.4,124.5328604,-68.3144658,10.6194,627.0,-1.948,3.6,12.8999,0.8,3415.0,0.6238622600460183
4743,LHS 1140,c,0,1,2,3.77794,0.027,1.272,1.91,11.248632,-15.2741085,14.9861,422.0,-2.42,5.1,25.8,5.0,3096.0,0.8624234158884222
251,GJ 3929,b,0,1,2,2.616235,0.0252,1.09,1.75,239.5775678,35.4081141,15.8095,568.0,-1.963,7.3,13.3,7.1,3384.0,0.879215830971272
4740,L 98-59,d,0,1,4,7.4507245,0.0486,1.521,1.94,124.5328604,-68.3144658,10.6194,416.0,-1.948,2.95,12.8999,0.8,3415.0,0.9333689156796914
4739,L 98-59,c,0,1,4,3.6906777,0.0304,1.385,2.22,124.5328604,-68.3144658,10.6194,553.0,-1.948,4.57,12.8999,0.8,3415.0,0.9638191543633404
1617,K2-3,c,0,1,3,24.646729,0.1357,1.582,2.68,172.3353708,-1.4551364,44.0727,372.0,-1.231,3.7,4.78,6.9,3844.0,1.0548640431882086
972,HD 260655,b,0,1,2,2.76953,0.02933,1.24,2.14,99.2915429,17.5662696,10.0055,709.0,-1.44,6.2,7.3,5.0,3803.0,1.1206129148472428
973,HD 260655,c,0,1,2,5.70588,0.04749,1.533,3.09,99.2915429,17.5662696,10.0055,557.0,-1.44,4.7,7.3,5.0,3803.0,1.1502310854842805
4742,LHS 1140,b,0,1,2,24.73723,0.0946,1.73,5.6,11.248632,-15.2741085,14.9861,226.0,-2.42,5.9,25.8,5.0,3096.0,1.18402286647607
4761,LTT 3780,b,0,2,2,0.76837931,0.01195,1.325,2.46,154.6449033,-11.717801,21.9814,903.0,-1.783,5.8,9.7842,3.1,3358.0,1.196051206183313
1388,K2-136,d,0,2,3,25.575,0.1538,1.565,3.0,67.4128615,22.8825674,59.2474,420.0,-0.777,4.3,3.3836,0.65,4500.0,1.2194712587686116
294,GJ 806,b,0,1,2,0.9263237,0.01406,1.331,1.9,311.2697002,44.5002351,12.0445,940.0,-1.585,4.4,8.6,5.0,3600.0,1.2448433327870612
5201,TOI-2136,b,0,1,1,7.851928,0.057,2.19,6.37,281.1763433,36.5631318,33.3631,395.0,-1.886,3.34,12.2,4.6,3342.0,1.3472057198733876
1616,K2-3,b,0,1,3,10.0546535,0.0747,2.078,5.11,172.3353708,-1.4551364,44.0727,501.0,-1.231,3.11,4.78,6.9,3844.0,1.3860614012534607
5334,TOI-4438,b,0,1,1,7.44628,0.0534,2.52,5.4,270.3172389,35.5948992,30.0346,435.0,-1.768,1.85,10.1,5.1,3422.0,1.396762790432774
5691,Wolf 327,b,0,1,1,0.5734745,0.01,1.24,2.53,148.3783199,35.570548,28.5321,996.0,-1.63,7.24,8.54,4.1,3542.0,1.4002616668055756
4762,LTT 3780,c,0,2,2,12.252284,0.0757,2.39,8.04,154.6449033,-11.717801,21.9814,359.0,-1.783,3.24,9.7842,3.1,3358.0,1.4544064483908572
5094,TOI-1467,b,0,1,1,5.97199,0.0495,1.676,9.0,19.1146441,49.2331382,37.4418,506.0,-1.42,11.0,6.6514,13.4,3776.0,1.4972901039983826
1386,K2-136,b,0,2,3,7.9752,0.0707,1.014,4.3,67.4128615,22.8825674,59.2474,610.0,-0.777,24.0,3.3836,0.65,4500.0,1.5390590712626822
