rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
4738,L 98-59,b,0,1,4,2.2531136,0.02191,0.85,0.4,124.5328604,-68.3144658,10.6194,627.0,-1.948,3.6,12.8999,0.8,3415.0,0.6238622600460183
4740,L 98-59,d,0,1,4,7.4507245,0.0486,1.521,1.94,124.5328604,-68.3144658,10.6194,416.0,-1.948,2.95,12.8999,0.8,3415.0,0.9333689156796914
1617,K2-3,c,0,1,3,24.646729,0.1357,1.582,2.68,172.3353708,-1.4551364,44.0727,372.0,-1.231,3.7,4.78,6.9,3844.0,1.0548640431882086
972,HD 260655,b,0,1,2,2.76953,0.02933,1.24,2.14,99.2915429,17.5662696,10.0055,709.0,-1.44,6.2,7.3,5.0,3803.0,1.1206129148472428
973,HD 260655,c,0,1,2,5.70588,0.04749,1.533,3.09,99.2915429,17.5662696,10.0055,557.0,-1.44,4.7,7.3,5.0,3803.0,1.1502310854842803
4761,LTT 3780,b,0,2,2,0.76837931,0.01195,1.325,2.46,154.6449033,-11.717801,21.9814,903.0,-1.783,5.8,9.7842,3.1,3358.0,1.196051206183313
1388,K2-136,d,0,2,3,25.575,0.1538,1.565,3.0,67.4128615,22.8825674,59.2474,420.0,-0.777,4.3,3.3836,0.65,4500.0,1.2194712587686116
294,GJ 806,b,0,1,2,0.9263237,0.01406,1.331,1.9,311.2697002,44.5002351,12.0445,940.0,-1.585,4.4,8.6,5.0,3600.0,1.2448433327870612
5691,Wolf 327,b,0,1,1,0.5734745,0.01,1.24,2.53,148.3783199,35.570548,28.5321,996.0,-1.63,7.24,8.54,4.1,3542.0,1.4002616668055756
4762,LTT 3780,c,0,2,2,12.252284,0.0757,2.39,8.04,154.6449033,-11.717801,21.9814,359.0,-1.783,3.24,9.7842,3.1,3358.0,1.4544064483908572
5094,TOI-1467,b,0,1,1,5.97199,0.0495,1.676,9.0,19.1146441,49.2331382,37.4418,506.0,-1.42,11.0,6.6514,13.4,3776.0,1.4972901039983826
1386,K2-136,b,0,2,3,7.9752,0.0707,1.014,4.3,67.4128615,22.8825674,59.2474,610.0,-0.777,24.0,3.3836,0.65,4500.0,1.5390590712626822
5143,TOI-178,e,0,1,6,9.961881,0.0783,2.207,3.86,7.3020115,-30.4541159,62.699,600.0,-0.879,1.98,3.31,7.1,4316.0,1.5440035639330905
910,GJ 143,c,0,1,2,7.78993,0.0695,0.892,3.7,51.7501882,-63.500166,16.32,701.0,-0.686,31.93,3.03,3.8,4640.0,1.6221185395845996
5144,TOI-178,f,0,1,6,15.231915,0.1039,2.287,7.72,7.3020115,-30.4541159,62.699,521.0,-0.879,3.6,3.31,7.1,4316.0,1.6511851546803114
5142,TOI-178,d,0,1,6,6.5577,0.0592,2.572,3.01,7.3020115,-30.4541159,62.699,690.0,-0.879,0.976,3.31,7.1,4316.0,1.7044334964649377
5009,TOI-1064,c,0,1,2,12.226574,0.09429,2.651,2.5,296.0039349,-47.5620305,68.0726,634.0,-0.623,0.77191,2.7069,9.4,4734.0,1.7582575711148063
5177,TOI-2015,b,0,1,1,3.348968,0.0301,3.39,16.4,232.1326528,27.361073,47.3444,512.0,-1.979,2.32,12.98,1.1,3194.0,1.937883453233869
5049,TOI-1260,d,0,1,3,16.608164,0.1116,3.12,11.84,157.1440712,65.8541986,73.5977,499.0,-0.889,2.14,3.43,6.7,4227.0,1.940667295418872
821,HD 191939,d,0,1,6,38.353037,0.2132,2.995,2.8,302.0256247,66.8503014,53.6089,540.0,-0.187,0.57,1.37,8.7,5348.0,1.985642479704019
5048,TOI-1260,c,0,1,3,7.493134,0.0657,2.76,13.2,157.1440712,65.8541986,73.5977,651.0,-0.889,3.45,3.43,6.7,4227.0,2.076581287220945
199,GJ 143,b,0,1,2,35.61253,0.1915,2.61,22.7,51.7501882,-63.500166,16.32,422.0,-0.686,7.0,3.03,3.8,4640.0,2.086055098151277
1387,K2-136,c,0,2,3,17.30713,0.1185,3.0,18.1,67.4128615,22.8825674,59.2474,470.0,-0.777,3.69,3.3836,0.65,4500.0,2.125027449353289
5025,TOI-1184,b,0,1,1,5.748432,0.056,2.41,6.8,272.2045196,60.6787845,58.5946,715.0,-0.701,2.63,3.0026,5.3,4617.0,2.138126229882442
5429,TOI-757,b,0,1,1,17.46819,0.122,2.5,10.5,187.9948428,-35.5544523,60.3418,641.0,-0.377,3.6,2.4,7.5,5278.0,2.2661926302296
5023,TOI-1180,b,0,1,1,9.686753,0.082,3.036,10.0,214.5557741,82.1937642,72.0238,638.0,-0.577,1.93,2.6608,5.0,4804.0,2.3208324826199296
869,HD 207897,b,0,1,1,16.20166,0.117,2.343,14.8,325.2016451,84.3337613,28.2938,582.0,-0.421,6.29,2.3804,4.7,5106.0,2.324844266589114
